transaction_id,settlement_id,utr,credited_amount,bank_status,bank_timestamp,bank_name
TXN-00001,SET-0001,UTR-JIUJV6OH9SDB,2763.46,SETTLED,2026-09-04 08:36:00,Kotak Mahindra Bank
TXN-00002,SET-0001,UTR-YTJXEPQ85JSG,22251.05,UNKNOWN,2026-09-04 13:54:00,Kotak Mahindra Bank
TXN-00003,SET-0001,UTR-3IIUC039TEX8,4112.27,SETTLED,2026-09-05 06:36:00,Axis Bank
TXN-00004,SET-0001,UTR-TVAZCCBLSKRT,17684.05,DELAYED,2026-09-07 13:08:00,ICICI Bank
TXN-00005,SET-0001,UTR-C02DGTFGQ5C3,21034.56,SETTLED,2026-09-02 08:07:00,HDFC Bank
TXN-00006,SET-0001,UTR-9J2QP89UZFK8,14178.88,SETTLED,2026-09-02 02:21:00,HDFC Bank
TXN-00007,SET-0001,UTR-YIE6IVWPVS7H,17615.76,DELAYED,2026-09-06 09:45:00,Axis Bank
TXN-00008,SET-0001,UTR-SEMCIKPTK93T,16334.96,SETTLED,2026-09-04 08:19:00,ICICI Bank
TXN-00010,SET-0001,UTR-BN78BMYYMU59,18429.9,SETTLED,2026-09-04 00:01:00,HDFC Bank
TXN-00011,SET-0002,UTR-ZNBQH7M35IXO,6912.66,SETTLED,2026-09-05 02:59:00,Kotak Mahindra Bank
TXN-00013,SET-0002,UTR-OOKEP7Y6WKTA,7090.29,SETTLED,2026-09-05 04:56:00,State Bank of India
TXN-00014,SET-0002,UTR-WD8IL3FB9W1Q,21641.72,SETTLED,2026-09-04 08:53:00,State Bank of India
TXN-00015,SET-0002,UTR-2ZQU7EEQTUL1,10857.65,SETTLED,2026-09-06 06:21:00,ICICI Bank
TXN-00016,SET-0002,UTR-JCKJLTEIYZCO,13321.92,SETTLED,2026-09-03 00:31:00,State Bank of India
TXN-00017,SET-0002,UTR-148P0TVHHPBM,16649.33,SETTLED,2026-09-03 10:58:00,Kotak Mahindra Bank
TXN-00018,SET-0002,UTR-JLQM5K8P4Q0B,23381.49,SETTLED,2026-09-02 08:07:00,HDFC Bank
TXN-00019,SET-0002,UTR-Z1GV0E38DALY,23449.63,SETTLED,2026-09-03 04:17:00,HDFC Bank
TXN-00020,SET-0002,UTR-XCXAPRPN6QFG,10226.02,SETTLED,2026-09-05 07:30:00,State Bank of India
TXN-00021,SET-0003,UTR-X2EK3ZEZQACJ,12734.56,SETTLED,2026-09-03 01:07:00,State Bank of India
TXN-00022,SET-0003,UTR-IXNTM9TMQLIZ,7469.35,SETTLED,2026-09-03 06:16:00,Axis Bank
TXN-00023,SET-0003,UTR-ATJ9TZE5R5UQ,5435.89,SETTLED,2026-09-03 01:18:00,HDFC Bank
TXN-00024,SET-0003,UTR-E1V2ISQP49KW,14919.2,SETTLED,2026-09-02 06:32:00,Axis Bank
TXN-00025,SET-0003,UTR-IZZQY72WX7PT,15881.46,SETTLED,2026-09-02 22:13:00,ICICI Bank
TXN-00026,SET-0003,UTR-JTPV60VAIY4V,602.01,SETTLED,2026-09-04 06:50:00,ICICI Bank
TXN-00027,SET-0003,UTR-MLY4LYK83TQL,7976.43,SETTLED,2026-09-03 08:13:00,State Bank of India
TXN-00028,SET-0003,UTR-04B7P47B42G0,2873.4,SETTLED,2026-09-03 17:30:00,Kotak Mahindra Bank
TXN-00029,SET-0003,UTR-0EC14M2JA04U,16239.89,SETTLED,2026-09-06 06:11:00,Axis Bank
TXN-00030,SET-0003,UTR-4OLR6N92XF8E,18899.7,SETTLED,2026-09-02 04:30:00,HDFC Bank
TXN-00031,SET-0004,UTR-X444NLZ15BCW,22623.48,DELAYED,2026-09-04 04:24:00,HDFC Bank
TXN-00032,SET-0004,UTR-TU2GC5WI6FQJ,6343.35,SETTLED,2026-09-05 07:54:00,HDFC Bank
TXN-00033,SET-0004,UTR-NRIUU9K9XJUY,18312.29,SETTLED,2026-09-05 07:53:00,Kotak Mahindra Bank
TXN-00034,SET-0004,UTR-DWB2BNE6LOH2,21458.21,SETTLED,2026-09-04 11:48:00,State Bank of India
TXN-00035,SET-0004,UTR-YYO4UDOJEN0J,9361.26,SETTLED,2026-09-04 04:50:00,State Bank of India
TXN-00036,SET-0004,UTR-KOF8KRD5EQY0,23152.32,SETTLED,2026-09-03 04:04:00,State Bank of India
TXN-00037,SET-0004,UTR-9N6XCJ883DHX,23850.46,SETTLED,2026-09-04 07:09:00,Kotak Mahindra Bank
TXN-00038,SET-0004,UTR-VJ99T2D5EM2V,482.48,SETTLED,2026-09-02 23:09:00,Kotak Mahindra Bank
TXN-00039,SET-0004,UTR-06XKXB94PDZP,22014.02,SETTLED,2026-09-03 04:07:00,Axis Bank
TXN-00041,SET-0005,UTR-C8UYO57P6BKL,1569.85,SETTLED,2026-09-03 23:38:00,HDFC Bank
TXN-00042,SET-0005,UTR-WYUVXYBJ17MG,3287.3,SETTLED,2026-09-05 04:11:00,HDFC Bank
TXN-00043,SET-0005,UTR-V5F1BCPPVOHS,8543.59,UNKNOWN,2026-09-05 08:34:00,ICICI Bank
TXN-00044,SET-0005,UTR-A0GNZS43C5BA,22568.59,UNKNOWN,2026-09-06 06:47:00,HDFC Bank
TXN-00045,SET-0005,UTR-DPOC50H2CWTG,18715.42,SETTLED,2026-09-03 01:01:00,ICICI Bank
TXN-00046,SET-0005,UTR-UY5X9L8LPQW2,14511.44,SETTLED,2026-09-03 02:17:00,State Bank of India
TXN-00047,SET-0005,UTR-U80B6UGVS8Q3,20456.26,SETTLED,2026-09-02 11:36:00,HDFC Bank
TXN-00048,SET-0005,UTR-MV2XCDYK0X65,8202.46,SETTLED,2026-09-03 14:58:00,State Bank of India
TXN-00049,SET-0005,UTR-896DYSAL8M1G,24556.93,DELAYED,2026-09-04 02:02:00,Kotak Mahindra Bank
TXN-00050,SET-0005,UTR-313FPOYIPK0Q,10489.86,SETTLED,2026-09-05 12:18:00,State Bank of India
TXN-00051,SET-0006,UTR-BRN7ZSEDFQS3,2341.47,SETTLED,2026-09-05 02:57:00,State Bank of India
TXN-00052,SET-0006,UTR-X2EK3ZEZQACJ,20397.56,SETTLED,2026-09-05 10:53:00,ICICI Bank
TXN-00053,SET-0006,UTR-ASIFPWIOXD9C,12887.38,DELAYED,2026-09-04 03:39:00,State Bank of India
TXN-00054,SET-0006,UTR-0LBT3G2QZW3C,19014.51,SETTLED,2026-09-02 08:00:00,HDFC Bank
TXN-00056,SET-0006,UTR-XLVPYMB5M9J9,23328.56,UNKNOWN,2026-09-05 09:12:00,Kotak Mahindra Bank
TXN-00057,SET-0006,UTR-FQNPCENLK8AG,12685.25,SETTLED,2026-09-02 13:28:00,State Bank of India
TXN-00058,SET-0006,UTR-Z9389YZTKKFZ,17225.08,SETTLED,2026-09-04 11:40:00,HDFC Bank
TXN-00059,SET-0006,UTR-E5COZROOUELC,11123.14,SETTLED,2026-09-04 05:11:00,ICICI Bank
TXN-00060,SET-0006,UTR-M764JWTEKTSG,23129.25,SETTLED,2026-09-03 20:14:00,Kotak Mahindra Bank
TXN-00061,SET-0007,UTR-WB6TXKI3OQYF,9927.05,SETTLED,2026-09-03 08:48:00,Axis Bank
TXN-00062,SET-0007,UTR-JIDKNWI5FLUL,18696.0,DELAYED,2026-09-07 05:30:00,HDFC Bank
TXN-00063,SET-0007,UTR-4YKADEJNOBBU,8932.99,DELAYED,2026-09-05 03:35:00,Axis Bank
TXN-00064,SET-0007,UTR-NFVOBBZ2SF6F,22796.38,SETTLED,2026-09-03 15:42:00,Kotak Mahindra Bank
TXN-00065,SET-0007,UTR-9V20YAR821UZ,14370.78,SETTLED,2026-09-05 05:31:00,HDFC Bank
TXN-00066,SET-0007,UTR-WQ40ZSU9RN8Q,12759.21,SETTLED,2026-09-04 20:32:00,ICICI Bank
TXN-00067,SET-0007,UTR-RRU7ZKUT6OM1,3680.93,SETTLED,2026-09-04 10:20:00,State Bank of India
TXN-00068,SET-0007,UTR-0IB6IIDLRYE8,24017.21,SETTLED,2026-09-06 08:08:00,State Bank of India
TXN-00069,SET-0007,UTR-04B7P47B42G0,21356.58,SETTLED,2026-09-02 09:09:00,Kotak Mahindra Bank
TXN-00070,SET-0007,UTR-SJ3L0XZAMKYG,14651.38,SETTLED,2026-09-05 16:17:00,HDFC Bank
TXN-00071,SET-0008,UTR-K0AXYCELOS6Z,7704.52,DELAYED,2026-09-05 09:16:00,ICICI Bank
TXN-00072,SET-0008,UTR-31YV2STN7E36,5012.55,SETTLED,2026-09-03 11:48:00,Kotak Mahindra Bank
TXN-00073,SET-0008,UTR-OUUYLAJAHCPZ,13334.7,SETTLED,2026-09-02 05:03:00,Axis Bank
TXN-00074,SET-0008,UTR-56NYXTXMGTT0,5545.08,SETTLED,2026-09-03 02:05:00,Kotak Mahindra Bank
TXN-00075,SET-0008,UTR-BXW76ICVQY5I,1175.97,SETTLED,2026-09-03 12:12:00,HDFC Bank
TXN-00076,SET-0008,UTR-I59SOJUV0GYU,1240.49,SETTLED,2026-09-05 17:57:00,State Bank of India
TXN-00077,SET-0008,UTR-QCOOTNJLCQNT,20084.91,SETTLED,2026-09-04 03:26:00,ICICI Bank
TXN-00078,SET-0008,UTR-HG0016ZZOILK,11433.3,SETTLED,2026-09-04 14:15:00,Axis Bank
TXN-00079,SET-0008,UTR-OUHFJ7UPFLN4,12236.84,SETTLED,2026-09-05 01:23:00,State Bank of India
TXN-00080,SET-0008,UTR-8S4C3BAEWCFH,11251.89,SETTLED,2026-09-06 08:15:00,HDFC Bank
TXN-00081,SET-0009,UTR-Y36DDFGS3JON,9969.12,SETTLED,2026-09-03 14:53:00,Axis Bank
TXN-00082,SET-0009,UTR-RRU7ZKUT6OM1,21203.61,SETTLED,2026-09-05 01:37:00,HDFC Bank
TXN-00083,SET-0009,UTR-SEMCIKPTK93T,19316.51,SETTLED,2026-09-02 17:32:00,HDFC Bank
TXN-00084,SET-0009,UTR-W2QITNGVN1KI,1889.32,SETTLED,2026-09-03 09:29:00,State Bank of India
TXN-00085,SET-0009,UTR-QTOAMDVLNKND,22139.37,SETTLED,2026-09-04 08:41:00,ICICI Bank
TXN-00086,SET-0009,UTR-JIWVHDK8LW2L,8235.86,DELAYED,2026-09-05 14:07:00,ICICI Bank
TXN-00087,SET-0009,UTR-LK2N7H9G1A07,5207.25,SETTLED,2026-09-03 03:58:00,ICICI Bank
TXN-00088,SET-0009,UTR-OS7YT2M6TWD1,16124.36,SETTLED,2026-09-03 08:02:00,Kotak Mahindra Bank
TXN-00090,SET-0009,UTR-K3E4XYF9IGFU,23541.52,SETTLED,2026-09-05 13:44:00,ICICI Bank
TXN-00091,SET-0010,UTR-H13CD5GLQJ5S,15635.87,SETTLED,2026-09-06 07:25:00,Kotak Mahindra Bank
TXN-00094,SET-0010,UTR-FQNPCENLK8AG,24409.72,SETTLED,2026-09-03 19:02:00,Kotak Mahindra Bank
TXN-00095,SET-0010,UTR-TLZKJ49YD827,14536.39,SETTLED,2026-09-03 14:58:00,ICICI Bank
TXN-00096,SET-0010,UTR-QW5DSK7N8LA1,8955.94,SETTLED,2026-09-05 19:50:00,Kotak Mahindra Bank
TXN-00097,SET-0010,UTR-4261BW4A7FQ9,10498.45,SETTLED,2026-09-03 20:05:00,ICICI Bank
TXN-00098,SET-0010,UTR-W01PDDHCVSQA,8501.81,DELAYED,2026-09-07 02:50:00,HDFC Bank
