transaction_id,order_id,merchant_id,merchant_name,gross_amount,platform_fee,tax_on_fee,net_settlement_amount,payment_status,gateway_timestamp,settlement_id,utr
TXN-00001,ORD-00001,MER-H75LXO6Q,"Choudhury, Bakshi and Maharaj",2830.26,56.61,10.19,2763.46,SUCCESS,2026-09-02 20:36:00,SET-0001,UTR-JIUJV6OH9SDB
TXN-00002,ORD-00002,MER-CN9T84AZ,Kapoor and Sons,22824.43,456.49,82.17,22285.77,SUCCESS,2026-09-03 19:54:00,SET-0001,UTR-YTJXEPQ85JSG
TXN-00003,ORD-00003,MER-877VREN9,"Chaudry, Chahal and Sami",4211.66,84.23,15.16,4112.27,SUCCESS,2026-09-04 12:36:00,SET-0001,UTR-3IIUC039TEX8
TXN-00004,ORD-00004,MER-OYN6QICA,Balan Inc,18111.48,362.23,65.2,17684.05,SUCCESS,2026-09-04 13:08:00,SET-0001,UTR-TVAZCCBLSKRT
TXN-00005,ORD-00005,MER-DXMO5BXX,Kaul PLC,21413.58,321.2,57.82,21034.56,SUCCESS,2026-09-01 20:07:00,SET-0001,UTR-C02DGTFGQ5C3
TXN-00006,ORD-00006,MER-74FRHOCN,"Bala, Issac and Saini",14521.59,290.43,52.28,14178.88,SUCCESS,2026-09-01 14:21:00,SET-0001,UTR-9J2QP89UZFK8
TXN-00007,ORD-00007,MER-VS4F8CGV,Sen PLC,17933.18,269.0,48.42,17615.76,SUCCESS,2026-09-03 15:45:00,SET-0001,UTR-YIE6IVWPVS7H
TXN-00008,ORD-00008,MER-Q77AWUDT,Ahuja-Dutta,16729.79,334.6,60.23,16334.96,SUCCESS,2026-09-03 20:19:00,SET-0001,UTR-SEMCIKPTK93T
TXN-00009,ORD-00009,MER-J60FKHMY,"Sami, Oak and Mall",11101.7,222.03,39.97,10839.7,SUCCESS,2026-09-04 18:34:00,SET-0001,UTR-4SJ6BW3BME9F
TXN-00010,ORD-00010,MER-E8YFBNTP,Kale LLC,18761.99,281.43,50.66,18429.9,SUCCESS,2026-09-02 12:01:00,SET-0001,UTR-BN78BMYYMU59
TXN-00011,ORD-00011,MER-G72OY0IF,Chanda Group,7037.22,105.56,19.0,6912.66,SUCCESS,2026-09-03 14:59:00,SET-0002,UTR-ZNBQH7M35IXO
TXN-00012,ORD-00012,MER-LA5JU9BV,Parmer LLC,23512.55,470.25,84.64,22957.66,SUCCESS,2026-09-02 15:12:00,SET-0002,UTR-M2P9E6GBPS3Y
TXN-00013,ORD-00013,MER-CXLL4ZKL,"Lalla, Bassi and Sharaf",7244.15,130.39,23.47,7090.29,SUCCESS,2026-09-03 16:56:00,SET-0002,UTR-OOKEP7Y6WKTA
TXN-00014,ORD-00014,MER-YS280XKX,"Dash, Radhakrishnan and Brar",22164.81,443.3,79.79,21641.72,SUCCESS,2026-09-02 20:53:00,SET-0002,UTR-WD8IL3FB9W1Q
TXN-00015,ORD-00015,MER-OFY6452H,"Memon, Pathak and Handa",11120.08,222.4,40.03,10857.65,SUCCESS,2026-09-04 18:21:00,SET-0002,UTR-2ZQU7EEQTUL1
TXN-00016,ORD-00016,MER-0RJIW1SW,"Boase, Bath and Kari",13611.02,245.0,44.1,13321.92,SUCCESS,2026-09-01 12:31:00,SET-0002,UTR-JCKJLTEIYZCO
TXN-00017,ORD-00017,MER-6VZ41NAM,Buch-Kaul,17010.63,306.19,55.11,16649.33,SUCCESS,2026-09-02 16:58:00,SET-0002,UTR-148P0TVHHPBM
TXN-00018,ORD-00018,MER-T6VXDP5G,Rai LLC,23802.8,357.04,64.27,23381.49,SUCCESS,2026-09-01 20:07:00,SET-0002,UTR-JLQM5K8P4Q0B
TXN-00019,ORD-00019,MER-8HAFEYUH,Patla-Gaba,23958.5,431.25,77.62,23449.63,SUCCESS,2026-09-02 10:17:00,SET-0002,UTR-Z1GV0E38DALY
TXN-00020,ORD-00020,MER-ZKY22UBT,Pant-Kadakia,13091.49,261.83,47.13,12782.53,SUCCESS,2026-09-03 19:30:00,SET-0002,UTR-XCXAPRPN6QFG
TXN-00021,ORD-00021,MER-3VLI7KQ1,"Loke, Bora and Garg",12964.02,194.46,35.0,12734.56,SUCCESS,2026-09-01 13:07:00,SET-0003,UTR-X2EK3ZEZQACJ
TXN-00022,ORD-00022,MER-TIRZQAKO,"Konda, Gade and Shere",7957.14,159.14,28.65,7769.35,SUCCESS,2026-09-02 12:16:00,SET-0003,UTR-IXNTM9TMQLIZ
TXN-00023,ORD-00023,MER-09SKDGIG,Madan-Kanda,11067.67,166.02,29.88,10871.77,SUCCESS,2026-09-01 13:18:00,SET-0003,UTR-ATJ9TZE5R5UQ
TXN-00024,ORD-00024,MER-OCWBFUK9,"Nair, Bhalla and Karnik",15279.81,305.6,55.01,14919.2,SUCCESS,2026-09-01 12:32:00,SET-0003,UTR-E1V2ISQP49KW
TXN-00025,ORD-00025,MER-XFGCAQVK,Mutti Group,16226.1,292.07,52.57,15881.46,SUCCESS,2026-09-02 10:13:00,SET-0003,UTR-IZZQY72WX7PT
TXN-00026,ORD-00026,MER-2V37PQKO,Bhatti-Kakar,616.56,12.33,2.22,602.01,SUCCESS,2026-09-03 18:50:00,SET-0003,UTR-JTPV60VAIY4V
TXN-00027,ORD-00027,MER-QX6GVWRD,"Murty, Kala and Tata",8149.52,146.69,26.4,7976.43,SUCCESS,2026-09-01 20:13:00,SET-0003,UTR-MLY4LYK83TQL
TXN-00028,ORD-00028,MER-BSWRPBJE,Shanker-Dhar,2925.18,43.88,7.9,2873.4,SUCCESS,2026-09-02 17:30:00,SET-0003,UTR-04B7P47B42G0
TXN-00029,ORD-00029,MER-ZORQQFGV,Dewan-Koshy,16532.52,247.99,44.64,16239.89,SUCCESS,2026-09-04 18:11:00,SET-0003,UTR-0EC14M2JA04U
TXN-00030,ORD-00030,MER-L1N759IN,"Yohannan, Lall and Sangha",24137.3,434.47,78.2,23624.63,SUCCESS,2026-09-01 16:30:00,SET-0003,UTR-4OLR6N92XF8E
TXN-00031,ORD-00031,MER-0OXFQ8MY,"Rastogi, Pathak and Kanda",23031.13,345.47,62.18,22623.48,SUCCESS,2026-09-01 16:24:00,SET-0004,UTR-X444NLZ15BCW
TXN-00032,ORD-00032,MER-PY6B2KNF,Upadhyay Group,6457.64,96.86,17.43,6343.35,SUCCESS,2026-09-04 13:54:00,SET-0004,UTR-TU2GC5WI6FQJ
TXN-00033,ORD-00033,MER-PMVXPJ4H,Batta Inc,18642.25,279.63,50.33,18312.29,SUCCESS,2026-09-04 13:53:00,SET-0004,UTR-NRIUU9K9XJUY
TXN-00034,ORD-00034,MER-2HGJ11YE,Dutta Ltd,21923.87,394.63,71.03,21458.21,SUCCESS,2026-09-03 11:48:00,SET-0004,UTR-DWB2BNE6LOH2
TXN-00035,ORD-00035,MER-8K52QC1I,Bhatt-Rajan,9587.53,191.75,34.52,9361.26,SUCCESS,2026-09-03 10:50:00,SET-0004,UTR-YYO4UDOJEN0J
TXN-00036,ORD-00036,MER-A5U6HC36,Sidhu-Wadhwa,23654.75,425.79,76.64,23152.32,SUCCESS,2026-09-02 16:04:00,SET-0004,UTR-KOF8KRD5EQY0
TXN-00037,ORD-00037,MER-W7KYHQIN,Apte-Contractor,24280.22,364.2,65.56,23850.46,SUCCESS,2026-09-03 13:09:00,SET-0004,UTR-9N6XCJ883DHX
TXN-00038,ORD-00038,MER-H3TV3I12,"Yadav, Loke and Oak",492.95,8.87,1.6,482.48,SUCCESS,2026-09-01 11:09:00,SET-0004,UTR-VJ99T2D5EM2V
TXN-00039,ORD-00039,MER-ECQNVQHW,Memon Group,22491.74,404.85,72.87,22014.02,SUCCESS,2026-09-02 10:07:00,SET-0004,UTR-06XKXB94PDZP
TXN-00040,ORD-00040,MER-WVZNVKSP,Setty Inc,7882.45,141.88,25.54,7715.03,SUCCESS,2026-09-03 15:23:00,SET-0004,UTR-2EX5T5P5O3O0
TXN-00041,ORD-00041,MER-YRDDP0NE,"Lall, Tella and Gokhale",2679.65,53.59,9.65,2616.41,SUCCESS,2026-09-02 11:38:00,SET-0005,UTR-C8UYO57P6BKL
TXN-00042,ORD-00042,MER-MUEKIPU1,"Cherian, Misra and Tripathi",3666.96,73.34,13.2,3580.42,SUCCESS,2026-09-04 10:11:00,SET-0005,UTR-WYUVXYBJ17MG
TXN-00043,ORD-00043,MER-DTNQFLL7,"Issac, Dua and Prakash",8694.8,130.42,23.48,8540.9,SUCCESS,2026-09-03 20:34:00,SET-0005,UTR-V5F1BCPPVOHS
TXN-00044,ORD-00044,MER-OVAKHEJL,Zacharia PLC,23036.94,414.66,74.64,22547.64,SUCCESS,2026-09-04 18:47:00,SET-0005,UTR-A0GNZS43C5BA
TXN-00045,ORD-00045,MER-O8G8QYNP,Naik Group,19428.08,349.71,62.95,19015.42,SUCCESS,2026-09-02 13:01:00,SET-0005,UTR-DPOC50H2CWTG
TXN-00046,ORD-00046,MER-GF1C8WQU,Choudhury LLC,14826.35,266.87,48.04,14511.44,SUCCESS,2026-09-01 14:17:00,SET-0005,UTR-UY5X9L8LPQW2
TXN-00047,ORD-00047,MER-BNKX9DVN,Khatri-Bhardwaj,20950.69,419.01,75.42,20456.26,SUCCESS,2026-09-01 17:36:00,SET-0005,UTR-U80B6UGVS8Q3
TXN-00048,ORD-00048,MER-IPPSFNKO,Brar Inc,8400.71,168.01,30.24,8202.46,SUCCESS,2026-09-02 14:58:00,SET-0005,UTR-MV2XCDYK0X65
