transaction_id,order_id,expected_settlement_amount,received_amount,ledger_status,ledger_timestamp
TXN-00001,ORD-00001,2763.46,2763.46,COMPLETE,2026-09-04 08:41:00
TXN-00002,ORD-00002,22285.77,16993.14,REVIEW,
TXN-00003,ORD-00003,4112.27,4112.27,COMPLETE,2026-09-05 06:41:00
TXN-00004,ORD-00004,17684.05,0.0,PENDING,
TXN-00005,ORD-00005,21034.56,21034.56,COMPLETE,2026-09-02 08:12:00
TXN-00006,ORD-00006,14178.88,14178.88,COMPLETE,2026-09-02 02:26:00
TXN-00007,ORD-00007,17615.76,0.0,PENDING,
TXN-00008,ORD-00008,16334.96,16334.96,COMPLETE,2026-09-04 08:24:00
TXN-00009,ORD-00009,10839.7,0.0,PENDING,
TXN-00010,ORD-00010,18429.9,18429.9,COMPLETE,2026-09-04 00:06:00
TXN-00011,ORD-00011,6912.66,6912.66,COMPLETE,2026-09-05 03:04:00
TXN-00012,ORD-00012,22957.66,0.0,PENDING,
TXN-00013,ORD-00013,7090.29,7090.29,COMPLETE,2026-09-05 05:01:00
TXN-00014,ORD-00014,21641.72,21641.72,COMPLETE,2026-09-04 08:58:00
TXN-00015,ORD-00015,10857.65,10857.65,COMPLETE,2026-09-06 06:26:00
TXN-00016,ORD-00016,13321.92,13321.92,COMPLETE,2026-09-03 00:36:00
TXN-00017,ORD-00017,16649.33,16649.33,COMPLETE,2026-09-03 11:03:00
TXN-00018,ORD-00018,23381.49,23381.49,COMPLETE,2026-09-02 08:12:00
TXN-00019,ORD-00019,23449.63,23449.63,COMPLETE,2026-09-03 04:22:00
TXN-00020,ORD-00020,12782.53,10226.02,PARTIAL,
TXN-00021,ORD-00021,12734.56,12734.56,REVIEW,
TXN-00022,ORD-00022,7769.35,7469.35,MISMATCH,
TXN-00023,ORD-00023,10871.77,5435.89,PARTIAL,
TXN-00024,ORD-00024,14919.2,14919.2,COMPLETE,2026-09-02 06:37:00
TXN-00025,ORD-00025,15881.46,15881.46,COMPLETE,2026-09-02 22:18:00
TXN-00026,ORD-00026,602.01,602.01,COMPLETE,2026-09-04 06:55:00
TXN-00027,ORD-00027,7976.43,7976.43,COMPLETE,2026-09-03 08:18:00
TXN-00028,ORD-00028,2873.4,2873.4,REVIEW,
TXN-00029,ORD-00029,16239.89,16239.89,COMPLETE,2026-09-06 06:16:00
TXN-00030,ORD-00030,23624.63,18899.7,PARTIAL,
TXN-00031,ORD-00031,22623.48,0.0,PENDING,
TXN-00032,ORD-00032,6343.35,6343.35,COMPLETE,2026-09-05 07:59:00
TXN-00033,ORD-00033,18312.29,18312.29,COMPLETE,2026-09-05 07:58:00
TXN-00034,ORD-00034,21458.21,21458.21,COMPLETE,2026-09-04 11:53:00
TXN-00035,ORD-00035,9361.26,9361.26,COMPLETE,2026-09-04 04:55:00
TXN-00036,ORD-00036,23152.32,23152.32,COMPLETE,2026-09-03 04:09:00
TXN-00037,ORD-00037,23850.46,23850.46,COMPLETE,2026-09-04 07:14:00
TXN-00038,ORD-00038,482.48,482.48,COMPLETE,2026-09-02 23:14:00
TXN-00039,ORD-00039,22014.02,22014.02,COMPLETE,2026-09-03 04:12:00
TXN-00040,ORD-00040,7715.03,0.0,PENDING,
TXN-00041,ORD-00041,2616.41,1569.85,PARTIAL,
TXN-00042,ORD-00042,3580.42,3287.3,MISMATCH,
TXN-00043,ORD-00043,8540.9,2634.18,REVIEW,
TXN-00044,ORD-00044,22547.64,9418.01,REVIEW,
TXN-00045,ORD-00045,19015.42,18715.42,MISMATCH,
TXN-00046,ORD-00046,14511.44,14511.44,COMPLETE,2026-09-03 02:22:00
TXN-00047,ORD-00047,20456.26,20456.26,COMPLETE,2026-09-02 11:41:00
TXN-00048,ORD-00048,8202.46,8202.46,COMPLETE,2026-09-03 15:03:00
TXN-00049,ORD-00049,24556.93,0.0,PENDING,
TXN-00050,ORD-00050,13112.33,10489.86,PARTIAL,
TXN-00051,ORD-00051,2341.47,2341.47,COMPLETE,2026-09-05 03:02:00
TXN-00052,ORD-00052,20397.56,20397.56,COMPLETE,2026-09-05 10:58:00
TXN-00053,ORD-00053,12887.38,0.0,PENDING,
TXN-00054,ORD-00054,19014.51,19014.51,COMPLETE,2026-09-02 08:05:00
TXN-00055,ORD-00055,4639.61,0.0,PENDING,
TXN-00056,ORD-00056,23283.28,3324.37,REVIEW,
TXN-00057,ORD-00057,12685.25,12685.25,COMPLETE,2026-09-02 13:33:00
TXN-00058,ORD-00058,17225.08,17225.08,COMPLETE,2026-09-04 11:45:00
TXN-00059,ORD-00059,11423.14,11123.14,MISMATCH,
